sportshall,address,coordinates
Forêts de soignes H1 Oudergem,Waverse Steenweg 2057,"(50.8072461, 4.443685945840228)"
Forêts de soignes H2 Oudergem,Waverse Steenweg 2057,"(50.8072461, 4.443685945840228)"
Forêts de soignes H3 Oudergem,Waverse Steenweg 2057,"(50.8072461, 4.443685945840228)"
Willegems Oudergem,Dorpelingstraat 89,"(50.81671, 4.4299593)"
Francois Guillaume Evere,Oudstrijderslaan 300,"(50.88411, 4.5364743)"
Mounier St-Lambrechts-Woluwe,Emmanuel Mounierlaan 87,"(50.8510607, 4.458613530635684)"
Aubier Evere,Twee Huizenstraat,"(50.8610998, 4.4172804)"
Koninklijk Atheneum Etterbeek,Edmond Mesenslaan 2,"(50.83113515, 4.408235262753902)"
Ceria Omnisporthal Anderlecht,Sentier de la Drève 16,"(50.81271905, 4.297722624196597)"
Henri Simonet Anderlecht,Theo Verbeecklaan 10/12,"(50.8338924, 4.2957607)"
Walcourt Anderlecht,Walcourtstraat 35,"(50.8264643, 4.302022735806904)"
Papenvest Brussel,Papenvest 101 - 103,"(50.8515986, 4.3435846)"
Rad Brussel,Radstraat 24,"(50.8416757, 4.346986670143779)"
Zuidpaleis Brussel,Rogier van der Weydenstraat 3,"(50.8419032, 4.3434804)"
Vander Puttenstadion Brussel,Slachthuislaan 51,"(50.8482427, 4.3369004)"
VUB Groene Zaal L456 Oudergem,Triomflaan 20,"(50.8248353, 4.397625329688772)"
VUB Parketzaal L123 Oudergem,Triomflaan 20,"(50.8248353, 4.397625329688772)"
Albert Demuyter Elsene,Voltastraat 18,"(50.8138165, 4.3952702)"
Maalbeek Etterbeek,Oudergemselaan 126,"(50.8414772, 4.3844011)"
Sportcentrum Etterbeek,Veldstraat 71,"(50.830476, 4.3937721)"
Richard Beauthier Ganshoren,Vandervekenstraat 114,"(50.87711585, 4.303650067034402)"
Sportcentrum Haren,Sporthalstraat 15,"(50.8915777, 4.420537382814446)"
Basic Fit Jette,Laarbeeklaan 125,"(50.885188850000006, 4.305764324238872)"
Jan van Ruusbroeckcollege Laken,Forumlaan 4,"(50.897058650000005, 4.354589574010085)"
Omnisportcentrum Laken,Kerkeveldstraat 73-89,"(50.875266100000005, 4.352756332644466)"
Sportcentrum Neder-over-Heembeek,Korte Groenweg 99,"(50.899653650000005, 4.393860438295518)"
Sportcomplex Neder-over-Heembeek,Lombardsijdestraat 120,"(50.89244395, 4.377105734318194)"
VRT Schaarbeek,Auguste Reyerslaan 52,"(50.8526185, 4.4043645)"
Emanuel Hiel Schaarbeek,Freesiadreef 7,"(50.864256, 4.391807305228072)"
Omnisportzaal St-Agatha-Berchem,Lusthuizenstraat 1,"(50.8694556, 4.2874141)"
Kasterlinden St-Agatha-Berchem,Poolsterstraat,"(50.8636921, 4.2846619)"
Sportcentrum St-Gillis,Ruslandstraat 41,"(50.8353413, 4.34119549025789)"
Sippelberg St-Jans-Molenbeek,Mahatma Gandhilaan 5,"(50.85991485, 4.32592149702081)"
Guy Cudell St-Joost-ten-Node,Tweekerkenstraat 107,"(50.8489089, 4.3742866)"
Sportcity St-Pieters-Woluwe,Salomélaan 2,"(50.8306758, 4.4566632)"
Drie Linden Watermaal-Bosvoorde,Léopold Wienerlaan 60,"(50.8064285, 4.409001649778105)"
Saint-Pierre College Ukkel,Coghenlaan 213,"(50.8054083, 4.3402442871302265)"
H.E.B. Institut Defré Ukkel,De Frélaan 62,"(50.80465595, 4.349565168045663)"
Zwartebeek Ukkel,Zwartebeekstraat 23,"(50.797663, 4.317310205624201)"
Klein Sportpaleis Vorst,Roosendaelstraat 2,"(50.80757795, 4.326858530909296)"
Van Volxem Vorst,Van Volxemlaan 391,"(50.82584565, 4.327033950846153)"
Vroegegroenten Vorst,Vroegegroentenstraat 20,"(50.82101955, 4.323035775097487)"
Muhammad Ali St-Jans-Molenbeek,Nijverheidskaai 31,"(50.848396, 4.333234450394298)"
Omnisportcomplex Jette,Graafschap Jettelaan,"(50.8830136, 4.3331888)"
Van Oost Schaarbeek,Van Ooststraat 52,"(50.8707533, 4.3740179)"
Kinetix Schaarbeek,Lambermontlaan 236,"(50.8694032, 4.3848184)"
Gemeenteomnisportzaal Schaarbeek,Algemeen Stemrechtlaan 22,"(50.86678545, 4.382916207262904)"
Comenius Koekelberg,Dapperenstraat 20,"(50.8621401, 4.3269306)"
Sint Goedele Anderlecht,Verheydenstraat 39,"(50.847222, 4.317481992473796)"
Complexe Sportif Cynthia Bolingo Brussel,Nieuwland 83,"(50.8409139, 4.3454576)"
Campus Kompas Schaarbeek,Gallaitstraat 58-60,"(50.8654307, 4.3676721)"
St-Michel Sint-Jans-Molenbeek,Picardstraat 170,"(50.8644331, 4.3422208)"
Lutgardiscollege Oudergem,Zandgroeflaan 2,"(50.81827645, 4.42883061733394)"
Ceria Sportcomplex Anderlecht,Lijstersstraat 51,"(50.8159342, 4.2982872)"
B.Sports St-Agatha-Berchem,Basilieklaan 14,"(50.86342105, 4.30125708569444)"
Sportcentrum Victoria Koekelberg,Léon Autriquestraat 4,"(50.8594583, 4.328283)"
Odisee Campus Parnas Dilbeek,Stationsstraat 301,"(50.8376528, 4.4347663)"
